ido,esperanto,similarity,rank,source
ii,ian,0.9784,3726,bert-alignment
il,il,1.0,91,bert-alignment
il,ilona,0.9908,91,bert-alignment
il,el,0.9873,91,bert-alignment
ili,ili,0.9991,1812,bert-alignment
ili,ilia,0.9877,1812,bert-alignment
ili,ilian,0.987,1812,bert-alignment
illinois,georgo,0.9867,4003,bert-alignment
illinois,francisco,0.9866,4003,bert-alignment
illinois,francio,0.9865,4003,bert-alignment
"illinois,",rio,0.9827,1350,bert-alignment
"illinois,",irlando,0.9818,1350,bert-alignment
"illinois,",danio,0.9813,1350,bert-alignment
ilu,il,0.9911,187,bert-alignment
ilu,helpis,0.9867,187,bert-alignment
ilu,ilona,0.9865,187,bert-alignment
ilua,igas,0.9904,298,bert-alignment
ilua,igis,0.9902,298,bert-alignment
ilua,kondukis,0.9901,298,bert-alignment
imaji,kalkuli,0.9846,2991,bert-alignment
imaji,kolekti,0.9823,2991,bert-alignment
imaji,skribi,0.9817,2991,bert-alignment
imajo,bezonas,0.9832,3846,bert-alignment
imajo,celo,0.982,3846,bert-alignment
imajo,diris,0.9819,3846,bert-alignment
imperas,indikas,0.9932,4018,bert-alignment
imperas,deklaris,0.9905,4018,bert-alignment
imperas,preferas,0.9901,4018,bert-alignment
imperiala,imperia,0.9912,4995,bert-alignment
imperiala,civila,0.9906,4995,bert-alignment
imperiala,giganta,0.9903,4995,bert-alignment
imperiestro,imperiestro,1.0,392,bert-alignment
imperiestro,imperiestra,0.9932,392,bert-alignment
imperiestro,imperia,0.9899,392,bert-alignment
imperio,imperio,0.9986,307,bert-alignment
imperio,imperiestro,0.9828,307,bert-alignment
imperio,regno,0.9804,307,bert-alignment
"imperio,",imperio,0.9828,1015,bert-alignment
"imperio,",teritoria,0.9816,1015,bert-alignment
"imperio,",amerika,0.981,1015,bert-alignment
imperis,imperia,0.9939,3277,bert-alignment
imperis,sendis,0.9923,3277,bert-alignment
imperis,kreas,0.9918,3277,bert-alignment
importanta,populara,0.9915,231,bert-alignment
importanta,facila,0.9904,231,bert-alignment
importanta,stabila,0.9895,231,bert-alignment
imposti,koncilio,0.9803,4431,bert-alignment
imposti,provizi,0.9795,4431,bert-alignment
imposti,kalkuli,0.979,4431,bert-alignment
in,in,0.9985,707,bert-alignment
in,ine,0.9886,707,bert-alignment
in,ino,0.9883,707,bert-alignment
inauguresis,inventis,0.9858,850,bert-alignment
inauguresis,enkondukis,0.9854,850,bert-alignment
inauguresis,eklaboris,0.9852,850,bert-alignment
inaugurita,konstruita,0.9915,3111,bert-alignment
inaugurita,rekonstruita,0.9893,3111,bert-alignment
inaugurita,adaptita,0.9884,3111,bert-alignment
incendio,incendio,0.9991,4279,bert-alignment
incendio,katastrofo,0.9928,4279,bert-alignment
incendio,operacio,0.9909,4279,bert-alignment
india,pakistano,0.9825,747,bert-alignment
india,israelo,0.9818,747,bert-alignment
india,portugalio,0.9818,747,bert-alignment
"india,",ferenc,0.9835,2005,bert-alignment
"india,",irana,0.9833,2005,bert-alignment
"india,",teritoria,0.983,2005,bert-alignment
indiana,hindia,0.9934,803,bert-alignment
indiana,japana,0.9929,803,bert-alignment
indiana,irlanda,0.9925,803,bert-alignment
"indiana,",teritoria,0.9875,3128,bert-alignment
"indiana,",irlanda,0.9858,3128,bert-alignment
"indiana,",amerika,0.9858,3128,bert-alignment
indijena,japana,0.9879,2449,bert-alignment
indijena,iberia,0.9878,2449,bert-alignment
indijena,enloĝantoj,0.9877,2449,bert-alignment
indijeni,iberia,0.9849,127,bert-alignment
indijeni,siberio,0.9828,127,bert-alignment
indijeni,organizi,0.9825,127,bert-alignment
indikar,indikas,0.9966,4640,bert-alignment
indikar,indiki,0.9934,4640,bert-alignment
indikar,indiko,0.9933,4640,bert-alignment
indikas,indikas,1.0,1997,bert-alignment
indikas,indiki,0.9935,1997,bert-alignment
indikas,indiko,0.9935,1997,bert-alignment
individui,individua,0.995,2032,bert-alignment
individui,persono,0.9911,2032,bert-alignment
individui,kandidato,0.9884,2032,bert-alignment
individuo,individuo,1.0,215,bert-alignment
individuo,aparato,0.9841,215,bert-alignment
individuo,individua,0.9835,215,bert-alignment
"individuo,",individuo,0.9892,156,bert-alignment
"individuo,",diplomato,0.9855,156,bert-alignment
"individuo,",persono,0.9849,156,bert-alignment
indo-europana,mezoregiono,0.9857,3717,bert-alignment
indo-europana,sudoriento,0.9854,3717,bert-alignment
indo-europana,provenco-alpoj-bordo,0.9853,3717,bert-alignment
indonezia,indonezio,0.9966,2506,bert-alignment
indonezia,azia,0.987,2506,bert-alignment
indonezia,iberia,0.9835,2506,bert-alignment
industriala,civila,0.9916,1915,bert-alignment
industriala,teknika,0.9911,1915,bert-alignment
industriala,teknologia,0.991,1915,bert-alignment
industrii,industrio,0.9944,3384,bert-alignment
industrii,labori,0.9901,3384,bert-alignment
industrii,fabriko,0.9895,3384,bert-alignment
industrio,industrio,1.0,2630,bert-alignment
industrio,komerco,0.9895,2630,bert-alignment
industrio,fabriko,0.9891,2630,bert-alignment
infanti,labori,0.9886,4135,bert-alignment
infanti,organizi,0.9882,4135,bert-alignment
infanti,konservi,0.9882,4135,bert-alignment
infinita,giganta,0.9915,303,bert-alignment
infinita,sekreta,0.9913,303,bert-alignment
infinita,kontinua,0.9911,303,bert-alignment
influesis,influis,0.9947,3417,bert-alignment
influesis,influas,0.9919,3417,bert-alignment
influesis,influita,0.9909,3417,bert-alignment
influi,influo,0.9955,1498,bert-alignment
influi,influita,0.9935,1498,bert-alignment
influi,influis,0.9931,1498,bert-alignment
influis,influis,1.0,3632,bert-alignment
influis,influas,0.9965,3632,bert-alignment
influis,influita,0.9952,3632,bert-alignment
influo,influo,0.9996,1167,bert-alignment
influo,influita,0.9941,1167,bert-alignment
influo,influas,0.994,1167,bert-alignment
informi,informo,0.9943,3340,bert-alignment
informi,informis,0.9882,3340,bert-alignment
informi,kalkuli,0.9873,3340,bert-alignment
informo,informo,0.9991,2985,bert-alignment
informo,informis,0.9916,2985,bert-alignment
informo,raporto,0.9887,2985,bert-alignment
"infrasilezia,",provenco-alpoj-bordo,0.9823,1714,bert-alignment
"infrasilezia,",amerika,0.9821,1714,bert-alignment
"infrasilezia,",mezoregiono,0.9819,1714,bert-alignment
infre,surloke,0.9864,2453,bert-alignment
infre,supre,0.9864,2453,bert-alignment
infre,preter,0.9863,2453,bert-alignment
injenioro,inĝeniero,0.9876,1837,bert-alignment
injenioro,niĝerio,0.9865,1837,bert-alignment
injenioro,artisto,0.9865,1837,bert-alignment
"injenioro,",artisto,0.9865,4770,bert-alignment
"injenioro,",inĝeniero,0.986,4770,bert-alignment
"injenioro,",arkitekto,0.9856,4770,bert-alignment
inkluzanta,inkludita,0.9938,2867,bert-alignment
inkluzanta,inkludas,0.9933,2867,bert-alignment
inkluzanta,inkludis,0.9921,2867,bert-alignment
inkluzante,inkludas,0.9923,4562,bert-alignment
inkluzante,inkludita,0.992,4562,bert-alignment
inkluzante,inkludis,0.9911,4562,bert-alignment
inkluzas,inkludas,0.9946,818,bert-alignment
inkluzas,inkludis,0.9917,818,bert-alignment
inkluzas,inkludita,0.9916,818,bert-alignment
inkluzis,inkludis,0.9946,2524,bert-alignment
inkluzis,inkludas,0.9933,2524,bert-alignment
inkluzis,inkludita,0.9922,2524,bert-alignment
inkluzite,inkludita,0.9887,361,bert-alignment
inkluzite,inkludas,0.9875,361,bert-alignment
inkluzite,inkludis,0.9863,361,bert-alignment
inline-block;,ngc-katalogo,0.9882,4975,bert-alignment
inline-block;,ŝanĝo,0.9874,4975,bert-alignment
inline-block;,plibonigi,0.9873,4975,bert-alignment
inocentius,otto,0.9807,3908,bert-alignment
inocentius,escepto,0.9804,3908,bert-alignment
inocentius,bretonio,0.9796,3908,bert-alignment
instalesis,eklaboris,0.99,4989,bert-alignment
instalesis,organizis,0.9897,4989,bert-alignment
instalesis,evoluis,0.9896,4989,bert-alignment
instalis,invitis,0.9946,4104,bert-alignment
instalis,aktivis,0.9945,4104,bert-alignment
instalis,konstruis,0.9942,4104,bert-alignment
institucuri,institucio,0.992,4403,bert-alignment
institucuri,institucioj,0.9904,4403,bert-alignment
institucuri,kolegio,0.9866,4403,bert-alignment
instituto,instituto,1.0,3903,bert-alignment
instituto,centro,0.9853,3903,bert-alignment
instituto,laboratorio,0.9846,3903,bert-alignment
instrumenti,organizi,0.9897,3843,bert-alignment
instrumenti,kolekti,0.9893,3843,bert-alignment
instrumenti,orkestro,0.9892,3843,bert-alignment
instrumento,instrumento,1.0,3664,bert-alignment
instrumento,aparato,0.9862,3664,bert-alignment
instrumento,gitaristo,0.9854,3664,bert-alignment
insuli,insularo,0.9844,623,bert-alignment
insuli,koncilio,0.9839,623,bert-alignment
insuli,kolonio,0.9837,623,bert-alignment
"insuli,",teritoria,0.9863,2582,bert-alignment
"insuli,",kolonio,0.9848,2582,bert-alignment
"insuli,",platformo,0.9847,2582,bert-alignment
insulo,insulo,1.0,479,bert-alignment
insulo,island,0.9832,479,bert-alignment
insulo,insularo,0.9825,479,bert-alignment
"insulo,",insulo,0.9874,4526,bert-alignment
"insulo,",teritoria,0.9812,4526,bert-alignment
"insulo,",universitata,0.9811,4526,bert-alignment
integro,integrita,0.9915,302,bert-alignment
integro,strukturo,0.9908,302,bert-alignment
integro,formulo,0.9899,302,bert-alignment
intensa,intensa,1.0,1858,bert-alignment
intensa,profunda,0.9922,1858,bert-alignment
intensa,longa,0.9891,1858,bert-alignment
inter,inter,1.0,96,bert-alignment
inter,interreta,0.9886,96,bert-alignment
inter,intertempe,0.9858,96,bert-alignment
interaltre,intertempe,0.9844,4998,bert-alignment
interaltre,interalie,0.9816,4998,bert-alignment
interaltre,interŝanĝo,0.9798,4998,bert-alignment
intereso,intereso,1.0,3351,bert-alignment
intereso,kontribuo,0.9902,3351,bert-alignment
intereso,potenco,0.9896,3351,bert-alignment
interlingua,esperanta,0.9896,4386,bert-alignment
interlingua,portugala,0.9888,4386,bert-alignment
interlingua,interagado,0.9882,4386,bert-alignment
interna,interna,0.9988,612,bert-alignment
interna,internaj,0.989,612,bert-alignment
interna,interne,0.9885,612,bert-alignment
internaciona,populara,0.9887,372,bert-alignment
internaciona,konkurso,0.9869,372,bert-alignment
internaciona,facila,0.9864,372,bert-alignment
international,international,0.9992,2664,bert-alignment
international,internacia,0.9878,2664,bert-alignment
international,national,0.9867,2664,bert-alignment
interne,interne,0.9991,1775,bert-alignment
interne,interna,0.9886,1775,bert-alignment
interne,internaj,0.9874,1775,bert-alignment
interretala,interreto,0.9893,1200,bert-alignment
interretala,interreta,0.9888,1200,bert-alignment
interretala,interagado,0.988,1200,bert-alignment
interreto,interreto,0.9975,4976,bert-alignment
interreto,interreta,0.9846,4976,bert-alignment
interreto,interagado,0.9828,4976,bert-alignment
inundadi,invado,0.9874,2846,bert-alignment
inundadi,invadis,0.9873,2846,bert-alignment
inundadi,incendio,0.9871,2846,bert-alignment
invadar,invadis,0.9964,4691,bert-alignment
invadar,invado,0.9909,4691,bert-alignment
invadar,kaptis,0.9892,4691,bert-alignment
invadas,invadis,0.9947,2451,bert-alignment
invadas,okupas,0.9931,2451,bert-alignment
invadas,invado,0.9929,2451,bert-alignment
invadis,invadis,0.9993,1846,bert-alignment
invadis,kaptis,0.992,1846,bert-alignment
invadis,batalis,0.9916,1846,bert-alignment
invado,invado,0.9995,2312,bert-alignment
invado,ekvacio,0.991,2312,bert-alignment
invado,instigis,0.991,2312,bert-alignment
inventis,inventis,0.9997,4664,bert-alignment
inventis,inventisto,0.9952,4664,bert-alignment
inventis,inspiris,0.992,4664,bert-alignment
inventisto,inventisto,1.0,3894,bert-alignment
inventisto,inventis,0.9952,3894,bert-alignment
inventisto,kreinto,0.9914,3894,bert-alignment
ioannes,ernesto,0.9858,1755,bert-alignment
ioannes,aleksandro,0.9855,1755,bert-alignment
ioannes,johannes,0.9853,1755,bert-alignment
iowa,ian,0.991,3622,bert-alignment
iowa,iun,0.9896,3622,bert-alignment
iowa,iome,0.9892,3622,bert-alignment
"iowa,",irlando,0.9836,486,bert-alignment
"iowa,",irlanda,0.983,486,bert-alignment
"iowa,",ian,0.9829,486,bert-alignment
ipsa,montras,0.98,994,bert-alignment
ipsa,endre,0.9795,994,bert-alignment
ipsa,aktiva,0.9795,994,bert-alignment
irak,iras,0.9949,1683,bert-alignment
irak,iri,0.9899,1683,bert-alignment
irak,irlanda,0.9877,1683,bert-alignment
iran,iras,0.9944,1874,bert-alignment
iran,iri,0.9895,1874,bert-alignment
iran,ian,0.9885,1874,bert-alignment
iranana,iras,0.9929,3825,bert-alignment
iranana,iri,0.9906,3825,bert-alignment
iranana,armena,0.9894,3825,bert-alignment
irar,iras,0.9973,4127,bert-alignment
irar,iri,0.9945,4127,bert-alignment
irar,ian,0.9901,4127,bert-alignment
iras,iras,1.0,1361,bert-alignment
iras,iri,0.9949,1361,bert-alignment
iras,ian,0.9901,1361,bert-alignment
irga,iri,0.9941,118,bert-alignment
irga,iras,0.9923,118,bert-alignment
irga,ilona,0.9913,118,bert-alignment
iris,iris,1.0,1733,bert-alignment
iris,foriris,0.9837,1733,bert-alignment
iris,eniris,0.9835,1733,bert-alignment
irlandana,irlanda,0.9959,2377,bert-alignment
irlandana,irlando,0.9925,2377,bert-alignment
irlandana,portugala,0.9893,2377,bert-alignment
irlando,irlando,1.0,1431,bert-alignment
irlando,irlanda,0.9972,1431,bert-alignment
irlando,londono,0.9927,1431,bert-alignment
is,is,0.999,4030,bert-alignment
is,es,0.9868,4030,bert-alignment
is,ilona,0.9841,4030,bert-alignment
isaac,marcel,0.9901,4818,bert-alignment
isaac,christopher,0.9895,4818,bert-alignment
isaac,albert,0.989,4818,bert-alignment
isbn,isbn,0.9981,3353,bert-alignment
isbn,is,0.9824,3353,bert-alignment
isbn,ifa,0.9821,3353,bert-alignment
islamala,islama,0.9967,4339,bert-alignment
islamala,islamo,0.9939,4339,bert-alignment
islamala,religia,0.9918,4339,bert-alignment
islamana,islama,0.9969,2670,bert-alignment
islamana,kristana,0.9921,2670,bert-alignment
islamana,islamo,0.9916,2670,bert-alignment
islamo,islamo,1.0,3507,bert-alignment
islamo,islama,0.992,3507,bert-alignment
islamo,kristanismo,0.9883,3507,bert-alignment
island,island,0.9989,2962,bert-alignment
island,islando,0.986,2962,bert-alignment
island,insulo,0.9831,2962,bert-alignment
islandana,islando,0.9907,4418,bert-alignment
islandana,irlanda,0.9896,4418,bert-alignment
islandana,nederlanda,0.9882,4418,bert-alignment
islando,islando,0.9985,2087,bert-alignment
islando,irlando,0.9913,2087,bert-alignment
islando,pakistano,0.99,2087,bert-alignment
israel,israelo,0.9905,908,bert-alignment
israel,israela,0.9877,908,bert-alignment
israel,araba,0.9844,908,bert-alignment
"israel,",israelo,0.9881,4710,bert-alignment
"israel,",teritoria,0.9836,4710,bert-alignment
"israel,",irana,0.9835,4710,bert-alignment
israelana,israela,0.994,2889,bert-alignment
israelana,israelo,0.9932,2889,bert-alignment
israelana,egipta,0.991,2889,bert-alignment
it,it,0.9989,4588,bert-alignment
it,ol,0.9837,4588,bert-alignment
it,il,0.9816,4588,bert-alignment
ita,loka,0.9845,2293,bert-alignment
ita,monda,0.9838,2293,bert-alignment
ita,utila,0.9836,2293,bert-alignment
italia,amerika,0.9876,500,bert-alignment
italia,italio,0.987,500,bert-alignment
italia,korea,0.985,500,bert-alignment
"italia,",amerika,0.9846,1629,bert-alignment
"italia,",korea,0.9826,1629,bert-alignment
"italia,",italio,0.9821,1629,bert-alignment
italian,italaj,0.9846,2219,bert-alignment
italian,latina,0.9837,2219,bert-alignment
italian,american,0.9833,2219,bert-alignment
italiana,latina,0.9821,342,bert-alignment
italiana,esperantista,0.9819,342,bert-alignment
italiana,esperanta,0.9802,342,bert-alignment
itere,cetere,0.9915,622,bert-alignment
itere,irako,0.9911,622,bert-alignment
itere,iome,0.9905,622,bert-alignment
ivan,ivan,0.9994,1945,bert-alignment
ivan,ian,0.9939,1945,bert-alignment
ivan,iun,0.9931,1945,bert-alignment
ivora,ebligas,0.9899,3834,bert-alignment
ivora,levita,0.9899,3834,bert-alignment
ivora,iome,0.9898,3834,bert-alignment
j,jc,0.9883,2513,bert-alignment
j,ja,0.9879,2513,bert-alignment
j,je,0.9834,2513,bert-alignment
ja,ja,1.0,451,bert-alignment
ja,jare,0.9923,451,bert-alignment
ja,jara,0.991,451,bert-alignment
jacanta,jaron,0.9891,573,bert-alignment
jacanta,jara,0.9883,573,bert-alignment
jacanta,jare,0.9875,573,bert-alignment
jacas,james,0.9849,98,bert-alignment
jacas,jaron,0.9824,98,bert-alignment
jacas,jacob,0.9808,98,bert-alignment
jaceyi,minejo,0.9888,4028,bert-alignment
jaceyi,kovras,0.9867,4028,bert-alignment
jaceyi,rezervejo,0.9867,4028,bert-alignment
jacis,jaron,0.9884,4106,bert-alignment
jacis,jare,0.9882,4106,bert-alignment
jacis,james,0.9874,4106,bert-alignment
jack,jack,1.0,3440,bert-alignment
jack,jackson,0.9896,3440,bert-alignment
jack,mark,0.9829,3440,bert-alignment
jackson,jackson,1.0,3805,bert-alignment
jackson,wilson,0.9936,3805,bert-alignment
jackson,johnson,0.992,3805,bert-alignment
"jackson,",jackson,0.992,3214,bert-alignment
"jackson,",johnson,0.9905,3214,bert-alignment
"jackson,",wilson,0.9896,3214,bert-alignment
jacob,jacob,0.9988,2823,bert-alignment
jacob,joseph,0.9893,2823,bert-alignment
jacob,christopher,0.9892,2823,bert-alignment
jacques,jacques,1.0,1885,bert-alignment
jacques,joseph,0.985,1885,bert-alignment
jacques,françois,0.984,1885,bert-alignment
jamaika,japana,0.9868,4888,bert-alignment
jamaika,japanio,0.9851,4888,bert-alignment
jamaika,faman,0.9849,4888,bert-alignment
james,james,1.0,546,bert-alignment
james,jare,0.9927,546,bert-alignment
james,jones,0.9917,546,bert-alignment
jan,jan,1.0,959,bert-alignment
jan,nombroj,0.9833,959,bert-alignment
jan,don,0.9833,959,bert-alignment
janeiro,grande,0.9792,1850,bert-alignment
janeiro,portugalio,0.9784,1850,bert-alignment
janeiro,papa,0.9782,1850,bert-alignment
"janeiro,",rio,0.9789,2756,bert-alignment
"janeiro,",ferenc,0.9782,2756,bert-alignment
"janeiro,",portugalio,0.9781,2756,bert-alignment
januaro,januaro,0.9991,165,bert-alignment
januaro,februaro,0.99,165,bert-alignment
januaro,aprilo,0.9874,165,bert-alignment
"januaro,",januaro,0.9926,4909,bert-alignment
"januaro,",februaro,0.9861,4909,bert-alignment
"januaro,",konferenco,0.9839,4909,bert-alignment
janów,andrzej,0.9843,1328,bert-alignment
janów,karlovy,0.9839,1328,bert-alignment
janów,miloj,0.9823,1328,bert-alignment
japonia,japanio,0.99,483,bert-alignment
japonia,japana,0.9881,483,bert-alignment
japonia,pakistano,0.9879,483,bert-alignment
"japonia,",korea,0.9857,2421,bert-alignment
"japonia,",korporacio,0.9856,2421,bert-alignment
"japonia,",kompanio,0.9854,2421,bert-alignment
japonian,japanio,0.9922,2425,bert-alignment
japonian,japana,0.9915,2425,bert-alignment
japonian,pakistano,0.9874,2425,bert-alignment
japoniana,japana,0.989,678,bert-alignment
japoniana,japanio,0.9871,678,bert-alignment
japoniana,portugala,0.986,678,bert-alignment
japoniani,japana,0.9868,1845,bert-alignment
japoniani,japanio,0.9867,1845,bert-alignment
japoniani,pakistano,0.9843,1845,bert-alignment
jazo,kazo,0.9892,4388,bert-alignment
jazo,jara,0.9888,4388,bert-alignment
jazo,alzaco,0.9887,4388,bert-alignment
jean,jean,0.9992,993,bert-alignment
jean,jena,0.9906,993,bert-alignment
jean,juan,0.9878,993,bert-alignment
jedi,je,0.9908,3455,bert-alignment
jedi,jena,0.9903,3455,bert-alignment
jedi,jesuo,0.9899,3455,bert-alignment
"jefferson,",johnson,0.99,2698,bert-alignment
"jefferson,",joseph,0.9877,2698,bert-alignment
"jefferson,",wilson,0.9876,2698,bert-alignment
jenro,genro,0.9842,2740,bert-alignment
jenro,ĝenro,0.9819,2740,bert-alignment
jenro,juro,0.9801,2740,bert-alignment
jimmy,jimmy,0.9994,4285,bert-alignment
jimmy,james,0.9891,4285,bert-alignment
jimmy,johannes,0.9888,4285,bert-alignment
joaquín,martín,0.9787,4544,bert-alignment
joaquín,josé,0.9786,4544,bert-alignment
joaquín,juan,0.9783,4544,bert-alignment
joe,joe,1.0,4568,bert-alignment
joe,jones,0.9936,4568,bert-alignment
joe,jorge,0.992,4568,bert-alignment
johan,johannes,0.9969,3215,bert-alignment
johan,jones,0.9937,3215,bert-alignment
johan,jorge,0.9929,3215,bert-alignment
johann,johann,0.9997,2303,bert-alignment
johann,john,0.9951,2303,bert-alignment
johann,johano,0.9937,2303,bert-alignment
johannes,johannes,1.0,2882,bert-alignment
johannes,jones,0.9963,2882,bert-alignment
johannes,jorge,0.9927,2882,bert-alignment
john,john,1.0,391,bert-alignment
john,johnny,0.9972,391,bert-alignment
john,johnson,0.997,391,bert-alignment
johnson,johnson,1.0,4240,bert-alignment
johnson,john,0.997,4240,bert-alignment
johnson,johnny,0.9968,4240,bert-alignment
"johnson,",johnson,0.9958,4166,bert-alignment
"johnson,",johnny,0.9928,4166,bert-alignment
"johnson,",john,0.9926,4166,bert-alignment
jordania,siberio,0.9855,3392,bert-alignment
jordania,nederlanda,0.9851,3392,bert-alignment
jordania,iberia,0.9851,3392,bert-alignment
jorge,jorge,1.0,2473,bert-alignment
jorge,george,0.9945,2473,bert-alignment
jorge,jones,0.9933,2473,bert-alignment
josef,josef,1.0,4462,bert-alignment
josef,joseph,0.9942,4462,bert-alignment
josef,christopher,0.9897,4462,bert-alignment
joseph,joseph,1.0,663,bert-alignment
joseph,josef,0.9942,663,bert-alignment
joseph,christopher,0.9935,663,bert-alignment
josé,josé,0.9994,444,bert-alignment
josé,josef,0.9893,444,bert-alignment
josé,joseph,0.9893,444,bert-alignment
jovdio,varsovio,0.9901,1292,bert-alignment
jovdio,svedio,0.9894,1292,bert-alignment
jovdio,esploroj,0.9888,1292,bert-alignment
joão,joão,0.9961,1800,bert-alignment
joão,brazilo,0.9625,1800,bert-alignment
joão,santos,0.9561,1800,bert-alignment
jr,jr,0.9983,2795,bert-alignment
jr,jc,0.9875,2795,bert-alignment
jr,john,0.985,2795,bert-alignment
"jr.,",jr,0.9914,3502,bert-alignment
"jr.,",jc,0.9847,3502,bert-alignment
"jr.,",d-ro,0.9844,3502,bert-alignment
juan,juan,1.0,658,bert-alignment
juan,johannes,0.9884,658,bert-alignment
juan,francisco,0.9882,658,bert-alignment
juda,juda,0.9989,2998,bert-alignment
juda,judaj,0.9905,2998,bert-alignment
juda,historiaj,0.9851,2998,bert-alignment
judi,juda,0.9796,1473,bert-alignment
judi,loĝanto,0.9765,1473,bert-alignment
judi,loĝanta,0.9764,1473,bert-alignment
judiciala,civila,0.994,2026,bert-alignment
judiciala,teknika,0.9914,2026,bert-alignment
judiciala,religia,0.9909,2026,bert-alignment
judikata,agnoskita,0.9911,3677,bert-alignment
judikata,agnoskis,0.9904,3677,bert-alignment
judikata,agnoskas,0.9894,3677,bert-alignment
judikesas,komprenas,0.9868,888,bert-alignment
judikesas,kreskas,0.9863,888,bert-alignment
judikesas,priskribas,0.9856,888,bert-alignment
judikesis,frekventis,0.9884,4882,bert-alignment
judikesis,promesis,0.9874,4882,bert-alignment
judikesis,prelegis,0.9872,4882,bert-alignment
jules,jules,0.9992,2769,bert-alignment
jules,luis,0.9915,2769,bert-alignment
jules,ligas,0.9894,2769,bert-alignment
juliala,julia,0.9895,262,bert-alignment
juliala,julius,0.9876,262,bert-alignment
juliala,religia,0.9831,262,bert-alignment
julio,julio,1.0,169,bert-alignment
julio,junio,0.9776,169,bert-alignment
julio,julia,0.9733,169,bert-alignment
"julio,",julio,0.985,3616,bert-alignment
"julio,",ferenc,0.9807,3616,bert-alignment
"julio,",martin,0.9796,3616,bert-alignment
julius,julius,1.0,3463,bert-alignment
julius,julia,0.9928,3463,bert-alignment
julius,christoph,0.986,3463,bert-alignment
junio,junio,0.9981,181,bert-alignment
junio,julio,0.9776,181,bert-alignment
junio,novembro,0.9711,181,bert-alignment
jurnalisto,artisto,0.993,1137,bert-alignment
jurnalisto,diplomato,0.9926,1137,bert-alignment
jurnalisto,juristo,0.9924,1137,bert-alignment
jurnalo,raporto,0.9882,1967,bert-alignment
jurnalo,dokumento,0.9878,1967,bert-alignment
jurnalo,komisiono,0.9876,1967,bert-alignment
jus,signifi,0.9793,3849,bert-alignment
jus,certa,0.9784,3849,bert-alignment
jus,ju,0.9782,3849,bert-alignment
józefów,józef,0.9874,4595,bert-alignment
józefów,józsef,0.9839,4595,bert-alignment
józefów,jozefo,0.9802,4595,bert-alignment
k,ke,0.9879,4901,bert-alignment
k,ngc,0.9863,4901,bert-alignment
k,kurt,0.9855,4901,bert-alignment
ka,arrondissement,0.9248,2164,bert-alignment
ka,big,0.9191,2164,bert-alignment
ka,frank,0.9111,2164,bert-alignment
kabo,kabo,0.9991,2980,bert-alignment
kabo,arbo,0.9917,2980,bert-alignment
kabo,tribo,0.9905,2980,bert-alignment
kad,kadre,0.9884,2594,bert-alignment
kad,ke,0.985,2594,bert-alignment
kad,oran,0.9844,2594,bert-alignment
kafeo,oleo,0.9894,4439,bert-alignment
kafeo,frukto,0.9887,4439,bert-alignment
kafeo,fero,0.9878,4439,bert-alignment
kaj,kaj,0.9991,847,bert-alignment
kaj,alian,0.9872,847,bert-alignment
kaj,kiuj,0.9864,847,bert-alignment
kalendario,kalendaro,0.9914,226,bert-alignment
kalendario,konsilio,0.9758,226,bert-alignment
kalendario,alfabeto,0.9741,226,bert-alignment
"kalendario,",kalendaro,0.9886,632,bert-alignment
"kalendario,",alfabeto,0.9765,632,bert-alignment
"kalendario,",konferenco,0.9765,632,bert-alignment
kalifio,kalia,0.9883,4651,bert-alignment
kalifio,koncilio,0.9881,4651,bert-alignment
kalifio,baziliko,0.9878,4651,bert-alignment
kalifornia,kalifornio,0.9971,1315,bert-alignment
kalifornia,bolivio,0.9842,1315,bert-alignment
kalifornia,moravio,0.984,1315,bert-alignment
"kalifornia,",kalifornio,0.9926,3053,bert-alignment
"kalifornia,",amerika,0.9818,3053,bert-alignment
"kalifornia,",hispanio,0.9817,3053,bert-alignment
kalkulas,utilas,0.9925,3155,bert-alignment
kalkulas,kredis,0.9923,3155,bert-alignment
kalkulas,konservas,0.9922,3155,bert-alignment
kam,ke,0.9877,35,bert-alignment
kam,tom,0.9864,35,bert-alignment
kam,kiel,0.9854,35,bert-alignment
kambodja,kongo,0.9837,2598,bert-alignment
kambodja,koreio,0.982,2598,bert-alignment
kambodja,pakistano,0.981,2598,bert-alignment
kamerun,komunan,0.9851,4826,bert-alignment
kamerun,egipta,0.985,4826,bert-alignment
kamerun,ukrainio,0.9844,4826,bert-alignment
kampanio,konkurso,0.9932,3225,bert-alignment
kampanio,operacio,0.9932,3225,bert-alignment
kampanio,batalo,0.9924,3225,bert-alignment
kanada,kanada,1.0,848,bert-alignment
kanada,kanado,0.9886,848,bert-alignment
kanada,skotlando,0.9874,848,bert-alignment
"kanada,",kanada,0.9909,2903,bert-alignment
"kanada,",korporacio,0.9836,2903,bert-alignment
"kanada,",amerika,0.9835,2903,bert-alignment
kanadana,kanada,0.9884,987,bert-alignment
kanadana,irlanda,0.9855,987,bert-alignment
kanadana,nacia,0.9854,987,bert-alignment
kanalo,kanalo,0.9995,1579,bert-alignment
kanalo,tunelo,0.9927,1579,bert-alignment
kanalo,fluo,0.9908,1579,bert-alignment
kancelero,soldato,0.9896,1655,bert-alignment
kancelero,direktoro,0.9895,1655,bert-alignment
kancelero,generalo,0.9894,1655,bert-alignment
kande,kadre,0.991,171,bert-alignment
kande,surloke,0.9894,171,bert-alignment
